"";"Survived";"Pclass";"Sex";"Age";"SibSp";"Parch";"Fare";"Embarked";"Title";"Side";"Deck";"CabinNumbers"
"314";"no";"3";"male";28;0;0;7,8958;"Southampton";"Mr";NA;NA;NA
"315";"no";"2";"male";43;1;1;26,25;"Southampton";"Mr";NA;NA;NA
"316";"yes";"3";"female";26;0;0;7,8542;"Southampton";"Ms";NA;NA;NA
"317";"yes";"2";"female";24;1;0;26;"Southampton";"Mrs";NA;NA;NA
"318";"no";"2";"male";54;0;0;14;"Southampton";"Mr";NA;NA;NA
"319";"yes";"1";"female";31;0;2;164,8667;"Southampton";"Ms";"Steuerbord";"C";"7"
"320";"yes";"1";"female";40;1;1;134,5;"Cherbourg";"Mrs";"Backbord";"E";"34"
"321";"no";"3";"male";22;0;0;7,25;"Southampton";"Mr";NA;NA;NA
"322";"no";"3";"male";27;0;0;7,8958;"Southampton";"Mr";NA;NA;NA
"323";"yes";"2";"female";30;0;0;12,35;"Queenstown";"Ms";NA;NA;NA
"324";"yes";"2";"female";22;1;1;29;"Southampton";"Mrs";NA;NA;NA
"325";"no";"3";"male";30;8;2;69,55;"Southampton";"Mr";NA;NA;NA
"326";"yes";"1";"female";36;0;0;135,6333;"Cherbourg";"Ms";"Backbord";"C";"32"
"327";"no";"3";"male";61;0;0;6,2375;"Southampton";"Mr";NA;NA;NA
"328";"yes";"2";"female";36;0;0;13;"Southampton";"Mrs";"";"";""
"329";"yes";"3";"female";31;1;1;20,525;"Southampton";"Mrs";NA;NA;NA
"330";"yes";"1";"female";16;0;1;57,9792;"Cherbourg";"Ms";"Backbord";"B";"18"
"331";"yes";"3";"female";22;2;0;23,25;"Queenstown";"Ms";NA;NA;NA
"332";"no";"1";"male";45,5;0;0;28,5;"Southampton";"Mr";"Backbord";"C";"124"
"333";"no";"1";"male";38;0;1;153,4625;"Southampton";"Mr";"Steuerbord";"C";"91"
"334";"no";"3";"male";16;2;0;18;"Southampton";"Mr";NA;NA;NA
"335";"yes";"1";"female";35;1;0;133,65;"Southampton";"Mrs";NA;NA;NA
"336";"no";"3";"male";30;0;0;7,8958;"Southampton";"Mr";NA;NA;NA
"337";"no";"1";"male";29;1;0;66,6;"Southampton";"Mr";"Backbord";"C";"2"
"338";"yes";"1";"female";41;0;0;134,5;"Cherbourg";"Ms";"Backbord";"E";"40"
"339";"yes";"3";"male";45;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"340";"no";"1";"male";45;0;0;35,5;"Southampton";"Mr";"";"";""
"341";"yes";"2";"male";2;1;1;26;"Southampton";"Master";"Backbord";"F";"2"
"342";"yes";"1";"female";24;3;2;263;"Southampton";"Ms";"Steuerbord";"C";"23, 25, 27"
"343";"no";"2";"male";28;0;0;13;"Southampton";"Mr";NA;NA;NA
"344";"no";"2";"male";25;0;0;13;"Southampton";"Mr";NA;NA;NA
"345";"no";"2";"male";36;0;0;13;"Southampton";"Mr";NA;NA;NA
"346";"yes";"2";"female";24;0;0;13;"Southampton";"Ms";"Steuerbord";"F";"33"
"347";"yes";"2";"female";40;0;0;13;"Southampton";"Ms";NA;NA;NA
"348";"yes";"3";"female";35;1;0;16,1;"Southampton";"Mrs";NA;NA;NA
"349";"yes";"3";"male";3;1;1;15,9;"Southampton";"Master";NA;NA;NA
"350";"no";"3";"male";42;0;0;8,6625;"Southampton";"Mr";NA;NA;NA
"351";"no";"3";"male";23;0;0;9,225;"Southampton";"Mr";NA;NA;NA
"352";"no";"1";"male";30;0;0;35;"Southampton";"Mr";"Backbord";"C";"128"
"353";"no";"3";"male";15;1;1;7,2292;"Cherbourg";"Mr";NA;NA;NA
"354";"no";"3";"male";25;1;0;17,8;"Southampton";"Mr";NA;NA;NA
"355";"no";"3";"male";30;0;0;7,225;"Cherbourg";"Mr";NA;NA;NA
"356";"no";"3";"male";28;0;0;9,5;"Southampton";"Mr";NA;NA;NA
"357";"yes";"1";"female";22;0;1;55;"Southampton";"Ms";"Steuerbord";"E";"33"
"358";"no";"2";"female";38;0;0;13;"Southampton";"Ms";NA;NA;NA
"359";"yes";"3";"female";22;0;0;7,8792;"Queenstown";"Ms";NA;NA;NA
"360";"yes";"3";"female";22;0;0;7,8792;"Queenstown";"Ms";NA;NA;NA
"361";"no";"3";"male";40;1;4;27,9;"Southampton";"Mr";NA;NA;NA
"362";"no";"2";"male";29;1;0;27,7208;"Cherbourg";"Mr";NA;NA;NA
"363";"no";"3";"female";45;0;1;14,4542;"Cherbourg";"Mrs";NA;NA;NA
"364";"no";"3";"male";35;0;0;7,05;"Southampton";"Mr";NA;NA;NA
"365";"no";"3";"male";30;1;0;15,5;"Queenstown";"Mr";NA;NA;NA
"366";"no";"3";"male";30;0;0;7,25;"Southampton";"Mr";NA;NA;NA
"367";"yes";"1";"female";60;1;0;75,25;"Cherbourg";"Mrs";"Steuerbord";"D";"37"
"368";"yes";"3";"female";35;0;0;7,2292;"Cherbourg";"Mrs";NA;NA;NA
"369";"yes";"3";"female";22;0;0;7,75;"Queenstown";"Ms";NA;NA;NA
"370";"yes";"1";"female";24;0;0;69,3;"Cherbourg";"Mrs";"Steuerbord";"B";"35"
"371";"yes";"1";"male";25;1;0;55,4417;"Cherbourg";"Mr";"Backbord";"E";"50"
"372";"no";"3";"male";18;1;0;6,4958;"Southampton";"Mr";NA;NA;NA
"373";"no";"3";"male";19;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"374";"no";"1";"male";22;0;0;135,6333;"Cherbourg";"Mr";NA;NA;NA
"375";"no";"3";"female";3;3;1;21,075;"Southampton";"Ms";NA;NA;NA
"376";"yes";"1";"female";35;1;0;82,1708;"Cherbourg";"Mrs";NA;NA;NA
"377";"yes";"3";"female";22;0;0;7,25;"Southampton";"Ms";NA;NA;NA
"378";"no";"1";"male";27;0;2;211,5;"Cherbourg";"Mr";"Backbord";"C";"82"
"379";"no";"3";"male";20;0;0;4,0125;"Cherbourg";"Mr";NA;NA;NA
"380";"no";"3";"male";19;0;0;7,775;"Southampton";"Mr";NA;NA;NA
"381";"yes";"1";"female";42;0;0;227,525;"Cherbourg";"Ms";NA;NA;NA
"382";"yes";"3";"female";1;0;2;15,7417;"Cherbourg";"Ms";NA;NA;NA
"383";"no";"3";"male";32;0;0;7,925;"Southampton";"Mr";NA;NA;NA
"384";"yes";"1";"female";35;1;0;52;"Southampton";"Mrs";NA;NA;NA
"385";"no";"3";"male";30;0;0;7,8958;"Southampton";"Mr";NA;NA;NA
"386";"no";"2";"male";18;0;0;73,5;"Southampton";"Mr";NA;NA;NA
"387";"no";"3";"male";1;5;2;46,9;"Southampton";"Master";NA;NA;NA
"388";"yes";"2";"female";36;0;0;13;"Southampton";"Ms";NA;NA;NA
"389";"no";"3";"male";30;0;0;7,7292;"Queenstown";"Mr";NA;NA;NA
"390";"yes";"2";"female";17;0;0;12;"Cherbourg";"Ms";NA;NA;NA
"391";"yes";"1";"male";36;1;2;120;"Southampton";"Mr";"Backbord";"B";"96, 98"
"392";"yes";"3";"male";21;0;0;7,7958;"Southampton";"Mr";NA;NA;NA
"393";"no";"3";"male";28;2;0;7,925;"Southampton";"Mr";NA;NA;NA
"394";"yes";"1";"female";23;1;0;113,275;"Cherbourg";"Ms";"Backbord";"D";"36"
"395";"yes";"3";"female";24;0;2;16,7;"Southampton";"Mrs";"Backbord";"G";"6"
"396";"no";"3";"male";22;0;0;7,7958;"Southampton";"Mr";NA;NA;NA
"397";"no";"3";"female";31;0;0;7,8542;"Southampton";"Ms";NA;NA;NA
"398";"no";"2";"male";46;0;0;26;"Southampton";"Mr";NA;NA;NA
"399";"no";"2";"male";23;0;0;10,5;"Southampton";"Mr";NA;NA;NA
"400";"yes";"2";"female";28;0;0;12,65;"Southampton";"Mrs";NA;NA;NA
"401";"yes";"3";"male";39;0;0;7,925;"Southampton";"Mr";NA;NA;NA
"402";"no";"3";"male";26;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"403";"no";"3";"female";21;1;0;9,825;"Southampton";"Ms";NA;NA;NA
"404";"no";"3";"male";28;1;0;15,85;"Southampton";"Mr";NA;NA;NA
"405";"no";"3";"female";20;0;0;8,6625;"Southampton";"Ms";NA;NA;NA
"406";"no";"2";"male";34;1;0;21;"Southampton";"Mr";NA;NA;NA
"407";"no";"3";"male";51;0;0;7,75;"Southampton";"Mr";NA;NA;NA
"408";"yes";"2";"male";3;1;1;18,75;"Southampton";"Master";NA;NA;NA
"409";"no";"3";"male";21;0;0;7,775;"Southampton";"Mr";NA;NA;NA
"410";"no";"3";"female";22;3;1;25,4667;"Southampton";"Ms";NA;NA;NA
"411";"no";"3";"male";30;0;0;7,8958;"Southampton";"Mr";NA;NA;NA
"412";"no";"3";"male";30;0;0;6,8583;"Queenstown";"Mr";NA;NA;NA
"413";"yes";"1";"female";33;1;0;90;"Queenstown";"Ms";"Backbord";"C";"78"
"414";"no";"2";"male";30;0;0;0;"Southampton";"Mr";NA;NA;NA
"415";"yes";"3";"male";44;0;0;7,925;"Southampton";"Mr";NA;NA;NA
"416";"no";"3";"female";35;0;0;8,05;"Southampton";"Mrs";NA;NA;NA
"417";"yes";"2";"female";34;1;1;32,5;"Southampton";"Mrs";NA;NA;NA
"418";"yes";"2";"female";18;0;2;13;"Southampton";"Ms";NA;NA;NA
"419";"no";"2";"male";30;0;0;13;"Southampton";"Mr";NA;NA;NA
"420";"no";"3";"female";10;0;2;24,15;"Southampton";"Ms";NA;NA;NA
"421";"no";"3";"male";30;0;0;7,8958;"Cherbourg";"Mr";NA;NA;NA
"422";"no";"3";"male";21;0;0;7,7333;"Queenstown";"Mr";NA;NA;NA
"423";"no";"3";"male";29;0;0;7,875;"Southampton";"Mr";NA;NA;NA
"424";"no";"3";"female";28;1;1;14,4;"Southampton";"Mrs";NA;NA;NA
"425";"no";"3";"male";18;1;1;20,2125;"Southampton";"Mr";NA;NA;NA
"426";"no";"3";"male";30;0;0;7,25;"Southampton";"Mr";NA;NA;NA
"427";"yes";"2";"female";28;1;0;26;"Southampton";"Mrs";NA;NA;NA
"428";"yes";"2";"female";19;0;0;26;"Southampton";"Ms";NA;NA;NA
"429";"no";"3";"male";30;0;0;7,75;"Queenstown";"Mr";NA;NA;NA
"430";"yes";"3";"male";32;0;0;8,05;"Southampton";"Mr";"Backbord";"E";"10"
"431";"yes";"1";"male";28;0;0;26,55;"Southampton";"Mr";"Backbord";"C";"52"
"432";"yes";"3";"female";35;1;0;16,1;"Southampton";"Mrs";NA;NA;NA
"433";"yes";"2";"female";42;1;0;26;"Southampton";"Mrs";NA;NA;NA
"434";"no";"3";"male";17;0;0;7,125;"Southampton";"Mr";NA;NA;NA
"435";"no";"1";"male";50;1;0;55,9;"Southampton";"Mr";"Backbord";"E";"44"
"436";"yes";"1";"female";14;1;2;120;"Southampton";"Ms";"Backbord";"B";"96, 98"
"437";"no";"3";"female";21;2;2;34,375;"Southampton";"Ms";NA;NA;NA
"438";"yes";"2";"female";24;2;3;18,75;"Southampton";"Mrs";NA;NA;NA
"439";"no";"1";"male";64;1;4;263;"Southampton";"Mr";"Steuerbord";"C";"23, 25, 27"
"440";"no";"2";"male";31;0;0;10,5;"Southampton";"Mr";NA;NA;NA
"441";"yes";"2";"female";45;1;1;26,25;"Southampton";"Mrs";NA;NA;NA
"442";"no";"3";"male";20;0;0;9,5;"Southampton";"Mr";NA;NA;NA
"443";"no";"3";"male";25;1;0;7,775;"Southampton";"Mr";NA;NA;NA
"444";"yes";"2";"female";28;0;0;13;"Southampton";"Ms";NA;NA;NA
"445";"yes";"3";"male";30;0;0;8,1125;"Southampton";"Mr";NA;NA;NA
"446";"yes";"1";"male";4;0;2;81,8583;"Southampton";"Master";"Backbord";"A";"34"
"447";"yes";"2";"female";13;0;1;19,5;"Southampton";"Ms";NA;NA;NA
"448";"yes";"1";"male";34;0;0;26,55;"Southampton";"Mr";NA;NA;NA
"449";"yes";"3";"female";5;2;1;19,2583;"Cherbourg";"Ms";NA;NA;NA
"450";"yes";"1";"male";52;0;0;30,5;"Southampton";"Mr";"Backbord";"C";"104"
"451";"no";"2";"male";36;1;2;27,75;"Southampton";"Mr";NA;NA;NA
"452";"no";"3";"male";30;1;0;19,9667;"Southampton";"Mr";NA;NA;NA
"453";"no";"1";"male";30;0;0;27,75;"Cherbourg";"Mr";"Steuerbord";"C";"111"
"454";"yes";"1";"male";49;1;0;89,1042;"Cherbourg";"Mr";"Backbord";"C";"92"
"455";"no";"3";"male";30;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"456";"yes";"3";"male";29;0;0;7,8958;"Cherbourg";"Mr";NA;NA;NA
"457";"no";"1";"male";65;0;0;26,55;"Southampton";"Mr";"Backbord";"E";"38"
"458";"yes";"1";"female";35;1;0;51,8625;"Southampton";"Mrs";"Steuerbord";"D";"21"
"459";"yes";"2";"female";50;0;0;10,5;"Southampton";"Ms";NA;NA;NA
"460";"no";"3";"male";30;0;0;7,75;"Queenstown";"Mr";NA;NA;NA
"461";"yes";"1";"male";48;0;0;26,55;"Southampton";"Mr";"Backbord";"E";"12"
"462";"no";"3";"male";34;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"463";"no";"1";"male";47;0;0;38,5;"Southampton";"Mr";"Steuerbord";"E";"63"
"464";"no";"2";"male";48;0;0;13;"Southampton";"Mr";NA;NA;NA
"465";"no";"3";"male";30;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"466";"no";"3";"male";38;0;0;7,05;"Southampton";"Mr";NA;NA;NA
"467";"no";"2";"male";30;0;0;0;"Southampton";"Mr";NA;NA;NA
"468";"no";"1";"male";56;0;0;26,55;"Southampton";"Mr";NA;NA;NA
"469";"no";"3";"male";30;0;0;7,725;"Queenstown";"Mr";NA;NA;NA
"470";"yes";"3";"female";0,75;2;1;19,2583;"Cherbourg";"Ms";NA;NA;NA
"471";"no";"3";"male";30;0;0;7,25;"Southampton";"Mr";NA;NA;NA
"472";"no";"3";"male";38;0;0;8,6625;"Southampton";"Mr";NA;NA;NA
"473";"yes";"2";"female";33;1;2;27,75;"Southampton";"Mrs";NA;NA;NA
"474";"yes";"2";"female";23;0;0;13,7917;"Cherbourg";"Mrs";"";"";""
"475";"no";"3";"female";22;0;0;9,8375;"Southampton";"Ms";NA;NA;NA
"476";"no";"1";"male";30;0;0;52;"Southampton";"Mr";"Backbord";"A";"14"
"477";"no";"2";"male";34;1;0;21;"Southampton";"Mr";NA;NA;NA
"478";"no";"3";"male";29;1;0;7,0458;"Southampton";"Mr";NA;NA;NA
"479";"no";"3";"male";22;0;0;7,5208;"Southampton";"Mr";NA;NA;NA
"480";"yes";"3";"female";2;0;1;12,2875;"Southampton";"Ms";NA;NA;NA
"481";"no";"3";"male";9;5;2;46,9;"Southampton";"Master";NA;NA;NA
"482";"no";"2";"male";30;0;0;0;"Southampton";"Mr";NA;NA;NA
"483";"no";"3";"male";50;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"484";"yes";"3";"female";63;0;0;9,5875;"Southampton";"Mrs";NA;NA;NA
"485";"yes";"1";"male";25;1;0;91,0792;"Cherbourg";"Mr";"Steuerbord";"B";"49"
"486";"no";"3";"female";22;3;1;25,4667;"Southampton";"Ms";NA;NA;NA
"487";"yes";"1";"female";35;1;0;90;"Southampton";"Mrs";"Steuerbord";"C";"93"
"488";"no";"1";"male";58;0;0;29,7;"Cherbourg";"Mr";"Steuerbord";"B";"37"
"489";"no";"3";"male";30;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"490";"yes";"3";"male";9;1;1;15,9;"Southampton";"Master";NA;NA;NA
"491";"no";"3";"male";30;1;0;19,9667;"Southampton";"Mr";NA;NA;NA
"492";"no";"3";"male";21;0;0;7,25;"Southampton";"Mr";NA;NA;NA
"493";"no";"1";"male";55;0;0;30,5;"Southampton";"Mr";"Backbord";"C";"30"
"494";"no";"1";"male";71;0;0;49,5042;"Cherbourg";"Mr";NA;NA;NA
"495";"no";"3";"male";21;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"496";"no";"3";"male";30;0;0;14,4583;"Cherbourg";"Mr";NA;NA;NA
"497";"yes";"1";"female";54;1;0;78,2667;"Cherbourg";"Ms";"Backbord";"D";"20"
"498";"no";"3";"male";30;0;0;15,1;"Southampton";"Mr";NA;NA;NA
"499";"no";"1";"female";25;1;2;151,55;"Southampton";"Mrs";"Backbord";"C";"22, 26"
"500";"no";"3";"male";24;0;0;7,7958;"Southampton";"Mr";NA;NA;NA
"501";"no";"3";"male";17;0;0;8,6625;"Southampton";"Mr";NA;NA;NA
"502";"no";"3";"female";21;0;0;7,75;"Queenstown";"Ms";NA;NA;NA
"503";"no";"3";"female";22;0;0;7,6292;"Queenstown";"Ms";NA;NA;NA
"504";"no";"3";"female";37;0;0;9,5875;"Southampton";"Ms";NA;NA;NA
"505";"yes";"1";"female";16;0;0;86,5;"Southampton";"Ms";"Steuerbord";"B";"79"
"506";"no";"1";"male";18;1;0;108,9;"Cherbourg";"Mr";"Steuerbord";"C";"65"
"507";"yes";"2";"female";33;0;2;26;"Southampton";"Mrs";NA;NA;NA
"508";"yes";"1";"male";30;0;0;26,55;"Southampton";"Mr";NA;NA;NA
"509";"no";"3";"male";28;0;0;22,525;"Southampton";"Mr";NA;NA;NA
"510";"yes";"3";"male";26;0;0;56,4958;"Southampton";"Mr";NA;NA;NA
"511";"yes";"3";"male";29;0;0;7,75;"Queenstown";"Mr";NA;NA;NA
"512";"no";"3";"male";30;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"513";"yes";"1";"male";36;0;0;26,2875;"Southampton";"Mr";"Steuerbord";"E";"25"
"514";"yes";"1";"female";54;1;0;59,4;"Cherbourg";"Mrs";NA;NA;NA
"515";"no";"3";"male";24;0;0;7,4958;"Southampton";"Mr";NA;NA;NA
"516";"no";"1";"male";47;0;0;34,0208;"Southampton";"Mr";"Backbord";"D";"46"
"517";"yes";"2";"female";34;0;0;10,5;"Southampton";"Mrs";"Steuerbord";"F";"33"
"518";"no";"3";"male";30;0;0;24,15;"Queenstown";"Mr";NA;NA;NA
"519";"yes";"2";"female";36;1;0;26;"Southampton";"Mrs";NA;NA;NA
"520";"no";"3";"male";32;0;0;7,8958;"Southampton";"Mr";NA;NA;NA
"521";"yes";"1";"female";30;0;0;93,5;"Southampton";"Ms";"Steuerbord";"B";"73"
"522";"no";"3";"male";22;0;0;7,8958;"Southampton";"Mr";NA;NA;NA
"523";"no";"3";"male";30;0;0;7,225;"Cherbourg";"Mr";NA;NA;NA
"524";"yes";"1";"female";44;0;1;57,9792;"Cherbourg";"Mrs";"Backbord";"B";"18"
"525";"no";"3";"male";30;0;0;7,2292;"Cherbourg";"Mr";NA;NA;NA
"526";"no";"3";"male";40,5;0;0;7,75;"Queenstown";"Mr";NA;NA;NA
"527";"yes";"2";"female";50;0;0;10,5;"Southampton";"Ms";NA;NA;NA
"528";"no";"1";"male";30;0;0;221,7792;"Southampton";"Mr";"Steuerbord";"C";"95"
"529";"no";"3";"male";39;0;0;7,925;"Southampton";"Mr";NA;NA;NA
"530";"no";"2";"male";23;2;1;11,5;"Southampton";"Mr";NA;NA;NA
"531";"yes";"2";"female";2;1;1;26;"Southampton";"Ms";NA;NA;NA
"532";"no";"3";"male";30;0;0;7,2292;"Cherbourg";"Mr";NA;NA;NA
"533";"no";"3";"male";17;1;1;7,2292;"Cherbourg";"Mr";NA;NA;NA
"534";"yes";"3";"female";35;0;2;22,3583;"Cherbourg";"Mrs";NA;NA;NA
"535";"no";"3";"female";30;0;0;8,6625;"Southampton";"Ms";NA;NA;NA
"536";"yes";"2";"female";7;0;2;26,25;"Southampton";"Ms";NA;NA;NA
"537";"no";"1";"male";45;0;0;26,55;"Southampton";"Mr";"Backbord";"B";"38"
"538";"yes";"1";"female";30;0;0;106,425;"Cherbourg";"Ms";NA;NA;NA
"539";"no";"3";"male";30;0;0;14,5;"Southampton";"Mr";NA;NA;NA
"540";"yes";"1";"female";22;0;2;49,5;"Cherbourg";"Ms";"Steuerbord";"B";"39"
"541";"yes";"1";"female";36;0;2;71;"Southampton";"Ms";"Backbord";"B";"22"
"542";"no";"3";"female";9;4;2;31,275;"Southampton";"Ms";NA;NA;NA
"543";"no";"3";"female";11;4;2;31,275;"Southampton";"Ms";NA;NA;NA
"544";"yes";"2";"male";32;1;0;26;"Southampton";"Mr";NA;NA;NA
"545";"no";"1";"male";50;1;0;106,425;"Cherbourg";"Mr";"Backbord";"C";"86"
"546";"no";"1";"male";64;0;0;26;"Southampton";"Mr";NA;NA;NA
"547";"yes";"2";"female";19;1;0;26;"Southampton";"Mrs";NA;NA;NA
"548";"yes";"2";"male";30;0;0;13,8625;"Cherbourg";"Mr";NA;NA;NA
"549";"no";"3";"male";33;1;1;20,525;"Southampton";"Mr";NA;NA;NA
"550";"yes";"2";"male";8;1;1;36,75;"Southampton";"Master";NA;NA;NA
"551";"yes";"1";"male";17;0;2;110,8833;"Cherbourg";"Mr";"Backbord";"C";"70"
"552";"no";"2";"male";27;0;0;26;"Southampton";"Mr";NA;NA;NA
"553";"no";"3";"male";30;0;0;7,8292;"Queenstown";"Mr";NA;NA;NA
"554";"yes";"3";"male";22;0;0;7,225;"Cherbourg";"Mr";NA;NA;NA
"555";"yes";"3";"female";22;0;0;7,775;"Southampton";"Ms";NA;NA;NA
"556";"no";"1";"male";62;0;0;26,55;"Southampton";"Mr";NA;NA;NA
"557";"yes";"1";"female";48;1;0;39,6;"Cherbourg";"Ms";"Backbord";"A";"16"
"558";"no";"1";"male";30;0;0;227,525;"Cherbourg";"Mr";NA;NA;NA
"559";"yes";"1";"female";39;1;1;79,65;"Southampton";"Mrs";"Steuerbord";"E";"67"
"560";"yes";"3";"female";36;1;0;17,4;"Southampton";"Mrs";NA;NA;NA
"561";"no";"3";"male";30;0;0;7,75;"Queenstown";"Mr";NA;NA;NA
"562";"no";"3";"male";40;0;0;7,8958;"Southampton";"Mr";NA;NA;NA
"563";"no";"2";"male";28;0;0;13,5;"Southampton";"Mr";NA;NA;NA
"564";"no";"3";"male";30;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"565";"no";"3";"female";22;0;0;8,05;"Southampton";"Ms";NA;NA;NA
"566";"no";"3";"male";24;2;0;24,15;"Southampton";"Mr";NA;NA;NA
"567";"no";"3";"male";19;0;0;7,8958;"Southampton";"Mr";NA;NA;NA
"568";"no";"3";"female";29;0;4;21,075;"Southampton";"Mrs";NA;NA;NA
"569";"no";"3";"male";30;0;0;7,2292;"Cherbourg";"Mr";NA;NA;NA
"570";"yes";"3";"male";32;0;0;7,8542;"Southampton";"Mr";NA;NA;NA
"571";"yes";"2";"male";62;0;0;10,5;"Southampton";"Mr";NA;NA;NA
"572";"yes";"1";"female";53;2;0;51,4792;"Southampton";"Mrs";"Steuerbord";"C";"101"
"573";"yes";"1";"male";36;0;0;26,3875;"Southampton";"Mr";"Steuerbord";"E";"25"
"574";"yes";"3";"female";22;0;0;7,75;"Queenstown";"Ms";NA;NA;NA
"575";"no";"3";"male";16;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"576";"no";"3";"male";19;0;0;14,5;"Southampton";"Mr";NA;NA;NA
"577";"yes";"2";"female";34;0;0;13;"Southampton";"Ms";NA;NA;NA
"578";"yes";"1";"female";39;1;0;55,9;"Southampton";"Mrs";"Backbord";"E";"44"
"579";"no";"3";"female";35;1;0;14,4583;"Cherbourg";"Mrs";NA;NA;NA
"580";"yes";"3";"male";32;0;0;7,925;"Southampton";"Mr";NA;NA;NA
"581";"yes";"2";"female";25;1;1;30;"Southampton";"Ms";NA;NA;NA
"582";"yes";"1";"female";39;1;1;110,8833;"Cherbourg";"Mrs";"Backbord";"C";"68"
"583";"no";"2";"male";54;0;0;26;"Southampton";"Mr";NA;NA;NA
"584";"no";"1";"male";36;0;0;40,125;"Cherbourg";"Mr";"Backbord";"A";"10"
"585";"no";"3";"male";30;0;0;8,7125;"Cherbourg";"Mr";NA;NA;NA
"586";"yes";"1";"female";18;0;2;79,65;"Southampton";"Ms";"Backbord";"E";"68"
"587";"no";"2";"male";47;0;0;15;"Southampton";"Mr";NA;NA;NA
"588";"yes";"1";"male";60;1;1;79,2;"Cherbourg";"Mr";"Steuerbord";"B";"41"
"589";"no";"3";"male";22;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"590";"no";"3";"male";30;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"591";"no";"3";"male";35;0;0;7,125;"Southampton";"Mr";NA;NA;NA
"592";"yes";"1";"female";52;1;0;78,2667;"Cherbourg";"Mrs";"Backbord";"D";"20"
"593";"no";"3";"male";47;0;0;7,25;"Southampton";"Mr";NA;NA;NA
"594";"no";"3";"female";22;0;2;7,75;"Queenstown";"Ms";NA;NA;NA
"595";"no";"2";"male";37;1;0;26;"Southampton";"Mr";NA;NA;NA
"596";"no";"3";"male";36;1;1;24,15;"Southampton";"Mr";NA;NA;NA
"597";"yes";"2";"female";22;0;0;33;"Southampton";"Ms";NA;NA;NA
"598";"no";"3";"male";49;0;0;0;"Southampton";"Mr";NA;NA;NA
"599";"no";"3";"male";30;0;0;7,225;"Cherbourg";"Mr";NA;NA;NA
"600";"yes";"1";"male";49;1;0;56,9292;"Cherbourg";"Mr";"Backbord";"A";"20"
"601";"yes";"2";"female";24;2;1;27;"Southampton";"Mrs";NA;NA;NA
"602";"no";"3";"male";30;0;0;7,8958;"Southampton";"Mr";NA;NA;NA
"603";"no";"1";"male";30;0;0;42,4;"Southampton";"Mr";NA;NA;NA
"604";"no";"3";"male";44;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"605";"yes";"1";"male";35;0;0;26,55;"Cherbourg";"Mr";NA;NA;NA
"606";"no";"3";"male";36;1;0;15,55;"Southampton";"Mr";NA;NA;NA
"607";"no";"3";"male";30;0;0;7,8958;"Southampton";"Mr";NA;NA;NA
"608";"yes";"1";"male";27;0;0;30,5;"Southampton";"Mr";NA;NA;NA
"609";"yes";"2";"female";22;1;2;41,5792;"Cherbourg";"Mrs";NA;NA;NA
"610";"yes";"1";"female";40;0;0;153,4625;"Southampton";"Ms";"Steuerbord";"C";"125"
"611";"no";"3";"female";39;1;5;31,275;"Southampton";"Mrs";NA;NA;NA
"612";"no";"3";"male";30;0;0;7,05;"Southampton";"Mr";NA;NA;NA
"613";"yes";"3";"female";22;1;0;15,5;"Queenstown";"Ms";NA;NA;NA
"614";"no";"3";"male";30;0;0;7,75;"Queenstown";"Mr";NA;NA;NA
"615";"no";"3";"male";35;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"616";"yes";"2";"female";24;1;2;65;"Southampton";"Ms";NA;NA;NA
"617";"no";"3";"male";34;1;1;14,4;"Southampton";"Mr";NA;NA;NA
"618";"no";"3";"female";26;1;0;16,1;"Southampton";"Mrs";NA;NA;NA
"619";"yes";"2";"female";4;2;1;39;"Southampton";"Ms";"Backbord";"F";"4"
"620";"no";"2";"male";26;0;0;10,5;"Southampton";"Mr";NA;NA;NA
"621";"no";"3";"male";27;1;0;14,4542;"Cherbourg";"Mr";NA;NA;NA
"622";"yes";"1";"male";42;1;0;52,5542;"Southampton";"Mr";"Steuerbord";"D";"19"
"623";"yes";"3";"male";20;1;1;15,7417;"Cherbourg";"Mr";NA;NA;NA
"624";"no";"3";"male";21;0;0;7,8542;"Southampton";"Mr";NA;NA;NA
"625";"no";"3";"male";21;0;0;16,1;"Southampton";"Mr";NA;NA;NA
"626";"no";"1";"male";61;0;0;32,3208;"Southampton";"Mr";"Backbord";"D";"50"
"627";"no";"2";"male";57;0;0;12,35;"Queenstown";"Mr";NA;NA;NA
"628";"yes";"1";"female";21;0;0;77,9583;"Southampton";"Ms";"Steuerbord";"D";"9"
"629";"no";"3";"male";26;0;0;7,8958;"Southampton";"Mr";NA;NA;NA
